Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C19, C5",0805,3,10u,
"C10, C6, C7, C9",0805,4,4.7u,
"C11, C12, C13, C14, C15, C16, C17, C18, C8",0805,9,100n,
"C3, C4",0805,2,15p,
J1,2171790001_MOL,1,2171790001,
"J5, J6",PinHeader_1x22_P2.54mm_Vertical,2,Conn_01x22,
L1,INDC2016X100N,1,3.3u,
"R2, R4, R6",0805,3,1k,
"R3, R9",0805,2,5.1k,
R5,0805,1,33,
"R7, R8",0805,2,27,
"SW1, SW2",Button_CnK_PTS636.0_6x3.5mm,2,SW_Push,
U1,RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias,1,RP2350_60QFN,
U2,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-272-T3,
